VALUE,BPS_CODE,BPS_NAME,GROUPVEG
2479,16780,Alaska Sub-boreal Mountain Hemlock-White Spruce Forest,Conifer
2481,17340,North Pacific Alpine and Subalpine Bedrock and Scree,Sparse
2501,16400,Aleutian Mesic-Wet Willow Shrubland,Shrubland
2506,16550,Alaskan Pacific Maritime Floodplain Forest and Shrubland,Conifer
2508,16630,North Pacific Shrub Swamp,Riparian
2511,16710,Aleutian American Dunegrass Grassland,Grassland
2528,17160,Aleutian Rocky Headland and Sea Cliff,Grassland
2529,17180,Aleutian Mesic Alder-Salmonberry Shrubland,Shrubland
2530,17190,Aleutian Crowberry-Herbaceous Heath,Shrubland
2531,17200,Aleutian Mixed Dwarf-Shrub-Herbaceous Shrubland,Shrubland
2532,17220,Aleutian Freshwater Marsh,Riparian
2533,17230,Aleutian Wet Meadow and Herbaceous Peatland-Complex,Peatland non-forest
2534,17250,Aleutian Marine Beach and Beach Meadow,Grassland
2535,17260,Aleutian Tidal Marsh,Riparian
2536,17270,Aleutian Shrub and Herbaceous Meadow Floodplain,Grassland
2537,17280,Aleutian Floodplain Forest and Shrubland,Hardwood
2538,17290,Aleutian Floodplain Wetland,Riparian
2539,17300,Aleutian Sparse Heath and Fell-Field,Shrubland
2540,17310,Aleutian Oval-leaf Blueberry Shrubland,Shrubland
2541,17320,Aleutian Volcanic Rock and Talus,Sparse
2552,16520,Alaskan Pacific Maritime Subalpine Alder-Salmonberry Shrubland,Shrubland
2553,16540,Alaskan Pacific Maritime Sitka Spruce Beach Ridge,Conifer
2555,16560,Alaskan Pacific Maritime Shrub and Herbaceous Floodplain Wetland,Riparian
2556,16590,Alaskan Pacific Maritime Mountain Hemlock Peatland,Peatland Forest
2560,16610,Alaskan Pacific Maritime Fen and Wet Meadow,Peatland non-forest
2561,16620,Temperate Pacific Freshwater Emergent Marsh,Riparian
2563,16650,Alaskan Pacific Maritime Coastal Meadow and Slough-Levee,Riparian
2568,16800,Alaskan Pacific Maritime Avalanche Slope Shrubland,Shrubland
2569,16810,Alaskan Pacific Maritime Poorly Drained Conifer Woodland,Peatland Forest
2574,16510,Aleutian Mesic Herbaceous Meadow,Grassland
2579,16570,Alaskan Pacific Maritime Shore Pine Peatland,Peatland Forest
2592,16320,Western North American Boreal Alpine Talus and Bedrock,Sparse
2596,18040,Hawaii Freshwater Marsh,NA
2597,18060,Hawaii Bog,NA
2598,18080,Hawaii Lowland Rainforest,NA
2599,18090,Hawaii Montane Cloud Forest,NA
2600,18100,Hawaii Montane Rainforest,NA
2601,18110,Hawaii Wet Cliff and Ridge Crest Shrubland,NA
2602,18130,Hawaii Lowland Dry Forest,NA
2603,18140,Hawaii Lowland Mesic Forest,NA
2604,18151,Hawaii Montane-Subalpine Dry Forest and Woodland-Lava,NA
2605,18160,Hawaii Montane-Subalpine Mesic Forest,NA
2606,18170,Hawaii Lowland Dry Shrubland,NA
2607,18180,Hawaii Lowland Mesic Shrubland,NA
2608,18190,Hawaii Lowland Dry Grassland,NA
2609,18200,Hawaii Lowland Mesic Grassland,NA
2610,18210,Hawaii Montane-Subalpine Dry Shrubland,NA
2611,18220,Hawaii Montane-Subalpine Dry Grassland,NA
2612,18230,Hawaii Montane-Subalpine Mesic Grassland,NA
2613,18240,Hawaii Alpine Dwarf-Shrubland,NA
2614,18250,Hawaii Dry Cliff,NA
2615,18260,Hawaii Dry Coastal Strand,NA
2616,18270,Hawaii Wet-Mesic Coastal Strand,NA
2617,18280,Hawaii Subalpine Mesic Shrubland,NA
2700,10803,Inter-Mountain Basins Big Sagebrush Shrubland-Semi-Desert,Shrubland
2701,10804,Inter-Mountain Basins Big Sagebrush Shrubland-Upland,Shrubland
2719,10432,Mediterranean California Mixed Evergreen Forest-Coastal,Conifer
2724,13622,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer
