VALUE,BPS_CODE,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,PRC_REPLAC,PRC_MIXED,PRC_SURFAC,FRG_NEW
596,10581,10581_6,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland-Wet,Conifer,158,51,460,36,23,69,8,III-A
597,10582,10582_6,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland-Dry,Conifer,244,56,59,26,11,46,43,I-C
598,10610,10610_6,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,Hardwood-Conifer,149,224,60,36,24,16,60,III-A
599,10620,10620_6_12_17_18,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,Shrubland,288,149,238,69,24,47,29,III-A
600,10670,10670_6,Mediterranean California Alpine Fell-Field,Shrubland,526,NA,NA,526,100,NA,NA,V-B
601,10710,10710_6,Sierra Nevada Alpine Dwarf-Shrubland,Shrubland,228,NA,NA,228,100,NA,NA,V-A
605,10820,10820_6,Mojave Mid-Elevation Mixed Desert Scrub,Shrubland,516,NA,NA,516,100,NA,NA,V-B
608,10980,10980_6,California Montane Woodland and Chaparral,Shrubland,92,54,NA,34,37,63,NA,I-C
613,11260,11260_6_12_17_18_28,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,49,NA,NA,49,100,NA,NA,IV-A
614,11360,11360_6,Mediterranean California Alpine Dry Tundra,Grassland,209,NA,NA,209,100,NA,NA,V-A
616,11380,11380_6,North Pacific Montane Grassland,Grassland,16,NA,NA,16,100,NA,NA,II-C
617,11520,11520_6,California Montane Riparian Systems,Riparian,88,95,NA,46,52,48,NA,III-A
619,11540,11540_6_12_16_17,Inter-Mountain Basins Montane Riparian Systems,Riparian,378,NA,NA,378,100,NA,NA,V-A
622,10110,10110_9,Rocky Mountain Aspen Forest and Woodland,Hardwood,59,50,NA,27,46,54,NA,I-C
626,10450,10450_1_7_8_9,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Conifer,184,107,32,22,12,21,67,I-C
627,10460,10460_1_7_9,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,345,79,NA,64,19,81,NA,III-A
628,10470,10470_8_9,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Conifer,201,153,351,70,35,45,20,III-A
629,10531,10531_1_7_8_9,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna-Mesic,Conifer,273,78,19,14,6,18,76,I-B
630,10532,10532_7_9,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna-Xeric,Conifer,258,100,136,47,18,47,35,III-A
